"Department","Department Abbreviation","Body/Agency","Agency Abbreviation","Name of service","2012 Q4: volume","2012 Q4: digital volume","2012 Q4: cost per transaction","2013 Q1: volume","2013 Q1: digital volume","2013 Q1: cost per transaction","Service Type","URL","Description of service","Notes on costs","Other notes","Customer type","Business model"
"Department for Environment, Food and Rural Affairs","Defra","Marine Management Organisation","MMO","Permits for burials at sea","10","","","6","","","Requesting a licence/authorisation","http://www.marinemanagement.org.uk/licensing/marine/activities/burial.htm","","","","Citizen (mainstream)","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to proceed to evidence rounds - TM53","5","","","5","","","Requesting a licence/authorisation","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to amend the regulations governing the use of a certification or collective mark - TM36","5","","","5","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application for Extension to a Supplementary Protection Certificate - SP4","4","","","4","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for information about applications and registered marks - TM31C","3","","","3","","","Requesting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Applying for or applying to renew a group licence (Consumer credit licensing)","10","","","3","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department of Energy and Climate Change","DECC","Oil & Gas (DECC)","","Safety Zone applications","3","","","3","1","","Requesting a licence/authorisation","https://www.og.decc.gov.uk/EIP.htm","","","","Business","Fiscal"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Application for a licence to import acetylene, or amendment to an existing licence","3","","","","","","Requesting a licence/authorisation","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of opposition to proceedings before the Comptroller - F15","2","","","2","","","Providing/reporting information","","","","","Business","Cost recovery"
"Department for Work and Pensions","DWP","Health and Safety Executive","HSE","Change of major accident hazard (MAH) Pipeline Operator (PSR Reg 22 (1))","8","","","2","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for certificate authorising the release of a sample of biological material - F8","1","","","1","","","Requesting a licence/authorisation","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of the intention to restrict the availability of samples of biological material to experts - F8A","1","","","1","","","Providing/reporting information","","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","National Measurement Office","NMO","Application for approved verification","","","","1","","","Requesting a licence/authorisation","http://www.nmodoitonline.bis.gov.uk/applicationform/application-for-approved-verification.aspx","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Natural England","","Heather and grass burning licences","10","","","1","","","Requesting a licence/authorisation","http://www.naturalengland.org.uk/ourwork/regulation/burning/default.aspx","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for a certified copy - TM31R","0","","","0","","","Requesting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of threatened opposition - TM7A","0","","","0","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Transform a Madrid protocol designation - TM4","0","","","0","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to intervene in proceedings - TM27","0","","","0","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request to receive notification of conflicting later marks - TM6","0","","","0","","","Requesting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Request for information in relation to an international TM - TM31M","0","","","0","","","Requesting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Notice of defence and counter-statement for use in revocation on the grounds of non-use - TM8N","0","","","0","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application to set aside cancellation of application or revocation or invalidation of registration - TM29","0","","","0","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-tm/pro-t-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Intellectual Property Office","IPO","Application for declaration of lapse or invalidity, or to revoke an extension of the duration of a Supplementary Protection Certificate - SP3","0","","","0","","","Providing/reporting information","http://www.ipo.gov.uk/pro-types/pro-patent/pro-p-formsfees.htm","","","","Business","Cost recovery"
"Department for Business, Innovation and Skills","BIS","Office of Fair Trading","OFT","Applying for a direction under Section 101(8) (and paying the associated fee) (Consumer credit licensing)","10","","","0","","","Requesting a licence/authorisation","http://www.oft.gov.uk/","","","","Business","Fiscal"
"Department for Environment, Food and Rural Affairs","Defra","Rural Payments Agency","RPA","Fibre processing aid","1","","","0","","","Requesting benefits/grants/loans","","","","","Business","Fiscal"
"Department for International Development","DFID","Department for International Development","DFID","Funding applications: Programme Partnership Arrangements","40","","","0","","","Requesting benefits/grants/loans","","Funding for civil society organisations to help reduce poverty in developing countries.","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Advisory, Conciliation and Arbitration Service","Acas","Registering for elearning","","","","","","","Registering","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Data service: Learning Aim Reference Application (LARA)","","","","","","","Providing/reporting information","http://skillsfundingagency.bis.gov.uk/","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Online Data Collection (OLDC)","","","","","","","Providing/reporting information","http://providers.lsc.gov.uk","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Learning Records Service Web Service: provider batch mgmt of unique learner number (ULN)","","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Learning Records Service Organisation Portal - Provider/AO batch mgmt of unique learner number (ULN)","","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Learning Records Service Organisation Portal: awarding organisation (AO) uploads qualification data","","","","","","","Providing/reporting information","","","","","Business","Fiscal"
"Department for Business, Innovation and Skills","BIS","Skills Funding Agency","","Learning Records Service Web Service -  AO upload qualification data","","","","","","","Providing/reporting information","","","","","Business","Fiscal"
